233158,3219.202558,1196,848,4.349874334,0.282724586,Alpinia Galanga (Rasna)
192148,2810.374137,913,945,4.490210671,0.305715496,Alpinia Galanga (Rasna)
283368.5,3965.002762,1481,1125,5.879711401,0.226503255,Alpinia Galanga (Rasna)
227114,4199.744952,1597,1192,8.381799449,0.161810961,Alpinia Galanga (Rasna)
330718.5,3988.233204,1473,1139,5.073036434,0.26128066,Alpinia Galanga (Rasna)
278890,3859.446414,1423,1117,5.699347413,0.235284206,Alpinia Galanga (Rasna)
230327,4077.696186,1516,1156,7.608730197,0.174070423,Alpinia Galanga (Rasna)
403539.5,4014.895119,1471,1113,4.057156734,0.314591878,Alpinia Galanga (Rasna)
224634.5,3344.939704,1208,1000,5.377624541,0.252295633,Alpinia Galanga (Rasna)
320837,4098.416977,1533,1145,5.470955657,0.240028067,Alpinia Galanga (Rasna)
325540,3356.33964,1185,948,3.450820176,0.363146965,Alpinia Galanga (Rasna)
471036.5,3437.798449,1222,900,2.334850909,0.5008453,Alpinia Galanga (Rasna)
246091,3964.867754,1475,1162,6.96470005,0.196719849,Alpinia Galanga (Rasna)
302086.5,3909.429168,1439,1149,5.473303176,0.248378777,Alpinia Galanga (Rasna)
228837,3252.790432,1204,924,4.86152152,0.271784035,Alpinia Galanga (Rasna)
304500,3813.824042,1379,1117,5.058597701,0.263072745,Alpinia Galanga (Rasna)
260646.5,3840.208818,1405,1100,5.929486872,0.222101801,Alpinia Galanga (Rasna)
259383,3996.21595,1482,1143,6.53059761,0.204104921,Alpinia Galanga (Rasna)
329545,4205.495172,1572,1162,5.542988059,0.234147925,Alpinia Galanga (Rasna)
368475.5,3789.532635,1390,1068,4.028816027,0.322438712,Alpinia Galanga (Rasna)
472508,3293.423774,1160,817,2.005722654,0.547423954,Alpinia Galanga (Rasna)
247125.5,3218.783291,1176,902,4.292361573,0.299739479,Alpinia Galanga (Rasna)
418791.5,4072.576356,1447,1172,4.049470918,0.3172994,Alpinia Galanga (Rasna)
468989.5,4058.326576,1473,1134,3.561661828,0.357831855,Alpinia Galanga (Rasna)
462565.5,3091.534389,1023,786,1.738300846,0.608183927,Alpinia Galanga (Rasna)
203075,3857.210912,1421,1147,8.026034716,0.17152189,Alpinia Galanga (Rasna)
394945.5,3095.323271,1051,828,2.203412876,0.51800626,Alpinia Galanga (Rasna)
206861,2988.967062,1051,927,4.709814803,0.290968668,Alpinia Galanga (Rasna)
291983.5,4186.046461,1573,1193,6.427037829,0.209392,Alpinia Galanga (Rasna)
355184,4398.999799,1593,1183,5.305754201,0.230651017,Alpinia Galanga (Rasna)
321312,4028.735727,1530,1084,5.161711981,0.248770712,Alpinia Galanga (Rasna)
465098.5,3471.538561,1275,880,2.412392214,0.484965468,Alpinia Galanga (Rasna)
277723.5,4137.630163,1580,1119,6.366115939,0.203853961,Alpinia Galanga (Rasna)
430684,2991.978042,983,799,1.823650287,0.604577246,Alpinia Galanga (Rasna)
490095.5,3295.95069,1075,908,1.991652647,0.566929646,Alpinia Galanga (Rasna)
303616,3899.706293,1426,1128,5.297902614,0.250882703,Alpinia Galanga (Rasna)
328768,3826.770227,1403,1092,4.660052073,0.282120491,Alpinia Galanga (Rasna)
343306,4013.304279,1494,1133,4.930592533,0.267847182,Alpinia Galanga (Rasna)
233934.5,4037.713425,1532,1129,7.393642237,0.180315539,Alpinia Galanga (Rasna)
291848.5,3904.718486,1436,1135,5.584609823,0.240540313,Alpinia Galanga (Rasna)
330274,3424.353926,1119,1121,3.798055554,0.353937811,Alpinia Galanga (Rasna)
403085,4116.593606,1502,1148,4.27774787,0.298903163,Alpinia Galanga (Rasna)
480563.5,3287.656319,1077,967,2.167162092,0.558711773,Alpinia Galanga (Rasna)
258352.5,3293.057463,1172,984,4.463854617,0.299380779,Alpinia Galanga (Rasna)
